"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C5, C6, C10","5","1uF","Capacitor_Taiyo_Yuden_0402:Capacitor_Taiyo_Yuden_0402",""
"2","C3, C4","2","4.7uF","Capacitor_Taiyo_Yuden_0402:Capacitor_Taiyo_Yuden_0402",""
"3","C7","1","0.22uF","Capacitor_Taiyo_Yuden_0402:Capacitor_Taiyo_Yuden_0402",""
"4","C8, C9","2","7pF","Capacitor_SMD:C_0201_0603Metric",""
"5","C11, C12","2","10nF","Capacitor_Taiyo_Yuden_0402:Capacitor_Taiyo_Yuden_0402",""
"6","C13","1","100nF","Capacitor_Taiyo_Yuden_0402:Capacitor_Taiyo_Yuden_0402",""
"7","CR1","1","ESDA7P60-1U1M","ESDA7P601U1M:ESDA7P601U1M",""
"8","D1","1","BAT30KFILM","BAT30KFILM:BAT30KFILM",""
"9","D2","1","YEL/GRN","LED_QBLP595:LED_QBLP595",""
"10","D3","1","ORG","LED_QBLP595:LED_QBLP595",""
"11","J1","1","UJC-HP-3-SMT-TR","CUI_UJC-HP-3-SMT-TR",""
"12","J2","1","2328702-8","2328702-8:TE_2328702-8",""
"13","J3","1","Conn_01x05","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Vertical",""
"14","R1, R2","2","5.1k (5%)","Stackpole_Res_0402:Stackpole_Res_0402",""
"15","R3","1","75k (1%)","Stackpole_Res_0402:Stackpole_Res_0402",""
"16","R4","1","30k (1%)","Stackpole_Res_0402:Stackpole_Res_0402",""
"17","R5, R6, R9, R10, R19, R20, R21","7","10k","Stackpole_Res_0402:Stackpole_Res_0402",""
"18","R8","1","10k (1%)","Stackpole_Res_0402:Stackpole_Res_0402",""
"19","R11, R12, R13, R16, R22, R26","6","100k","Stackpole_Res_0402:Stackpole_Res_0402",""
"20","R14","1","4M","Stackpole_Res_0402:Stackpole_Res_0402",""
"21","R15","1","3M","Stackpole_Res_0402:Stackpole_Res_0402",""
"22","R17, R18","2","4.7k","Stackpole_Res_0402:Stackpole_Res_0402",""
"23","R23","1","2M","Stackpole_Res_0402:Stackpole_Res_0402",""
"24","R24, R25","2","1k","Stackpole_Res_0402:Stackpole_Res_0402",""
"25","SW1","1","PTS840ESDPMSMTRLFS","PTS840ESDPMSMTRLFS:PTS840ESDPMSMTRLFS",""
"26","U1","1","LDK130PU-R","QFN40P120X130X45-6N",""
"27","U2","1","STBC08PMR","STBC08PMR:SON95P300X300X100-7N-D",""
"28","U3","1","STM6601CQ2BDM6F","STM6601AQ2BDM6F:STM6601AQ2BDM6F",""
"29","U4","1","BMD-350-A-R","XCVR_BMD-350-A-R",""
"30","U5, U6, U7","3","SSM6L61NU","UDFN6",""
"31","Y1","1","ECS-.327-CDX-2216","ECS-.327-7-34R-TR:XTAL_ECS-.327-CDX-2216",""
